month,longitude,"r,p<0.1",index,yrmin,yrmax
Mar,-97.5,NA,seproost,2004,2018
Mar,-95,NA,seproost,2004,2018
Mar,-92.5,NA,seproost,2004,2018
Mar,-90,NA,seproost,2004,2018
Mar,-87.5,NA,seproost,2004,2018
Mar,-85,NA,seproost,2004,2018
Mar,-82.5,NA,seproost,2004,2018
Mar,-80,NA,seproost,2004,2018
Mar,-77.5,NA,seproost,2004,2018
Mar,-75,NA,seproost,2004,2018
Mar,-72.5,-0.45,seproost,2004,2018
Mar,-70,-0.453571429,seproost,2004,2018
Mar,-67.5,-0.467857143,seproost,2004,2018
Mar,-65,NA,seproost,2004,2018
Mar,-62.5,NA,seproost,2004,2018
Mar,-60,NA,seproost,2004,2018
Apr,-110,NA,seproost,2004,2018
Apr,-107.5,NA,seproost,2004,2018
Apr,-105,NA,seproost,2004,2018
Apr,-102.5,NA,seproost,2004,2018
Apr,-100,NA,seproost,2004,2018
Apr,-97.5,NA,seproost,2004,2018
Apr,-95,NA,seproost,2004,2018
Apr,-92.5,NA,seproost,2004,2018
Apr,-90,NA,seproost,2004,2018
Apr,-87.5,-0.510714286,seproost,2004,2018
Apr,-85,-0.457142857,seproost,2004,2018
Apr,-82.5,NA,seproost,2004,2018
Apr,-80,-0.585714286,seproost,2004,2018
Apr,-77.5,-0.628571429,seproost,2004,2018
Apr,-75,-0.571428571,seproost,2004,2018
Apr,-72.5,-0.539285714,seproost,2004,2018
Apr,-70,-0.539285714,seproost,2004,2018
Apr,-67.5,NA,seproost,2004,2018
Apr,-65,-0.482142857,seproost,2004,2018
Apr,-62.5,-0.535714286,seproost,2004,2018
Apr,-60,-0.5,seproost,2004,2018
May,-110,NA,seproost,2004,2018
May,-107.5,NA,seproost,2004,2018
May,-105,NA,seproost,2004,2018
May,-102.5,0.485714286,seproost,2004,2018
May,-100,NA,seproost,2004,2018
May,-97.5,0.692857143,seproost,2004,2018
May,-95,0.692857143,seproost,2004,2018
May,-92.5,0.464285714,seproost,2004,2018
May,-90,NA,seproost,2004,2018
May,-87.5,NA,seproost,2004,2018
May,-85,NA,seproost,2004,2018
May,-82.5,NA,seproost,2004,2018
May,-80,NA,seproost,2004,2018
May,-77.5,NA,seproost,2004,2018
May,-75,NA,seproost,2004,2018
May,-72.5,NA,seproost,2004,2018
May,-70,NA,seproost,2004,2018
May,-67.5,NA,seproost,2004,2018
May,-65,NA,seproost,2004,2018
May,-62.5,NA,seproost,2004,2018
May,-60,NA,seproost,2004,2018
Jun,-110,NA,seproost,2004,2018
Jun,-107.5,0.442857143,seproost,2004,2018
Jun,-105,0.625,seproost,2004,2018
Jun,-102.5,0.607142857,seproost,2004,2018
Jun,-100,NA,seproost,2004,2018
Jun,-97.5,NA,seproost,2004,2018
Jun,-95,NA,seproost,2004,2018
Jun,-92.5,NA,seproost,2004,2018
Jun,-90,NA,seproost,2004,2018
Jun,-87.5,NA,seproost,2004,2018
Jun,-85,NA,seproost,2004,2018
Jun,-82.5,NA,seproost,2004,2018
Jun,-80,0.460714286,seproost,2004,2018
Jun,-77.5,NA,seproost,2004,2018
Jun,-75,NA,seproost,2004,2018
Jun,-72.5,NA,seproost,2004,2018
Jun,-70,NA,seproost,2004,2018
Jun,-67.5,NA,seproost,2004,2018
Jun,-65,NA,seproost,2004,2018
Jun,-62.5,NA,seproost,2004,2018
Jun,-60,NA,seproost,2004,2018
Jul,-110,NA,seproost,2004,2018
Jul,-107.5,NA,seproost,2004,2018
Jul,-105,NA,seproost,2004,2018
Jul,-102.5,NA,seproost,2004,2018
Jul,-100,NA,seproost,2004,2018
Jul,-97.5,NA,seproost,2004,2018
Jul,-95,NA,seproost,2004,2018
Jul,-92.5,NA,seproost,2004,2018
Jul,-90,NA,seproost,2004,2018
Jul,-87.5,NA,seproost,2004,2018
Jul,-85,NA,seproost,2004,2018
Jul,-82.5,NA,seproost,2004,2018
Jul,-80,NA,seproost,2004,2018
Jul,-77.5,NA,seproost,2004,2018
Jul,-75,NA,seproost,2004,2018
Jul,-72.5,NA,seproost,2004,2018
Jul,-70,NA,seproost,2004,2018
Jul,-67.5,NA,seproost,2004,2018
Jul,-65,NA,seproost,2004,2018
Jul,-62.5,NA,seproost,2004,2018
Jul,-60,NA,seproost,2004,2018
Aug,-110,NA,seproost,2004,2018
Aug,-107.5,NA,seproost,2004,2018
Aug,-105,0.478571429,seproost,2004,2018
Aug,-102.5,NA,seproost,2004,2018
Aug,-100,NA,seproost,2004,2018
Aug,-97.5,NA,seproost,2004,2018
Aug,-95,NA,seproost,2004,2018
Aug,-92.5,NA,seproost,2004,2018
Aug,-90,NA,seproost,2004,2018
Aug,-87.5,NA,seproost,2004,2018
Aug,-85,NA,seproost,2004,2018
Aug,-82.5,NA,seproost,2004,2018
Aug,-80,0.467857143,seproost,2004,2018
Aug,-77.5,0.442857143,seproost,2004,2018
Aug,-75,0.496428571,seproost,2004,2018
Aug,-72.5,0.485714286,seproost,2004,2018
Aug,-70,0.485714286,seproost,2004,2018
Aug,-67.5,0.442857143,seproost,2004,2018
Aug,-65,NA,seproost,2004,2018
Aug,-62.5,NA,seproost,2004,2018
Aug,-60,NA,seproost,2004,2018
Sep,-110,-0.610714286,seproost,2004,2018
Sep,-107.5,-0.653571429,seproost,2004,2018
Sep,-105,-0.471428571,seproost,2004,2018
Sep,-102.5,-0.503571429,seproost,2004,2018
Sep,-100,-0.475,seproost,2004,2018
Sep,-97.5,NA,seproost,2004,2018
Sep,-95,NA,seproost,2004,2018
Sep,-92.5,NA,seproost,2004,2018
Sep,-90,NA,seproost,2004,2018
Sep,-87.5,NA,seproost,2004,2018
Sep,-85,NA,seproost,2004,2018
Sep,-82.5,NA,seproost,2004,2018
Sep,-80,NA,seproost,2004,2018
Sep,-77.5,NA,seproost,2004,2018
Sep,-75,NA,seproost,2004,2018
Sep,-72.5,NA,seproost,2004,2018
Sep,-70,NA,seproost,2004,2018
Sep,-67.5,NA,seproost,2004,2018
Sep,-65,NA,seproost,2004,2018
Sep,-62.5,NA,seproost,2004,2018
Sep,-60,NA,seproost,2004,2018
